"Condition","Group","Organ","Query","Celltype","predicted_cell_type","match","explanation"
"All","Lymph Node","RespiratoryImmune","query","cd1c-positive myeloid dendritic cell","Can't Identify","No Match","The prediction does not identify the cell type."
"Group","Lymph Node","RespiratoryImmune","noquery","cd1c-positive myeloid dendritic cell","Can't Identify","No Match","The prediction fails to identify the specific cell type."
"Group","Lymph Node","RespiratoryImmune","query","cd1c-positive myeloid dendritic cell","Can't Identify","No Match","The prediction fails to identify the specific cell type."
"Organ","Lymph Node","RespiratoryImmune","noquery","cd1c-positive myeloid dendritic cell","Can't Identify","No Match","The prediction fails to identify the specific cell type."
"Organ","Lymph Node","RespiratoryImmune","query","cd1c-positive myeloid dendritic cell","Can't Identify","No Match","The prediction fails to identify the specific cell type."
"All","Lymph Node","RespiratoryImmune","noquery","intermediate monocyte","Can't Identify","No Match","The prediction fails to identify the specific cell type."
"All","Lymph Node","RespiratoryImmune","query","intermediate monocyte","Can't Identify","No Match","The prediction fails to identify the specific cell type."
"Group","Lymph Node","RespiratoryImmune","noquery","intermediate monocyte","Can't Identify","No Match","The prediction fails to identify the specific cell type."
"Group","Lymph Node","RespiratoryImmune","query","intermediate monocyte","Can't Identify","No Match","The prediction fails to identify the specific cell type."
"Organ","Lymph Node","RespiratoryImmune","noquery","intermediate monocyte","Can't Identify","No Match","The prediction fails to identify the specific cell type."
"Organ","Lymph Node","RespiratoryImmune","query","intermediate monocyte","Can't Identify","No Match","The prediction fails to identify the specific cell type."
"All","Lymph Node","RespiratoryImmune","noquery","hematopoietic stem cell","Can't Identify","No Match","The predicted type provides no information about cell identity."
"All","Lymph Node","RespiratoryImmune","query","hematopoietic stem cell","Can't Identify","No Match","The predicted type provides no information about cell identity."
"Group","Lymph Node","RespiratoryImmune","noquery","hematopoietic stem cell","Can't Identify","No Match","The predicted type provides no information about cell identity."
"Group","Lymph Node","RespiratoryImmune","query","hematopoietic stem cell","Can't Identify","No Match","The predicted type provides no information about cell identity."
"Organ","Lymph Node","RespiratoryImmune","noquery","hematopoietic stem cell","Can't Identify","No Match","The predicted type provides no information about cell identity."
"Organ","Lymph Node","RespiratoryImmune","query","hematopoietic stem cell","Can't Identify","No Match","The predicted type provides no information about cell identity."
"All","Lymph Node","RespiratoryImmune","noquery","mast cell","Mast Cells","Match","Both refer to the same cell type known as mast cells."
"All","Lymph Node","RespiratoryImmune","query","mast cell","Can't Identify","No Match","The predicted type provides no information about cell identity."
"Group","Lymph Node","RespiratoryImmune","noquery","mast cell","Can't Identify","No Match","The predicted type provides no information about cell identity."
"Group","Lymph Node","RespiratoryImmune","query","mast cell","Can't Identify","No Match","The predicted type provides no information about cell identity."
"Organ","Lymph Node","RespiratoryImmune","noquery","mast cell","Mast Cells","Match","Predicted cell type matches with different casing."
"Organ","Lymph Node","RespiratoryImmune","query","mast cell","Mast Cells","Match","Predicted cell type matches with different casing."
"All","Lymph Node","RespiratoryImmune","noquery","stromal cell","Can't Identify","No Match","Prediction does not identify or suggest the actual type."
"All","Lymph Node","RespiratoryImmune","query","stromal cell","Can't Identify","No Match","Prediction does not identify or suggest the actual type."
"Group","Lymph Node","RespiratoryImmune","noquery","stromal cell","Can't Identify","No Match","Prediction does not identify or suggest the actual type."
"Group","Lymph Node","RespiratoryImmune","query","stromal cell","Can't Identify","No Match","Prediction does not identify or suggest the actual type."
"Organ","Lymph Node","RespiratoryImmune","noquery","stromal cell","Can't Identify","No Match","Prediction does not identify or suggest the actual type."
"Organ","Lymph Node","RespiratoryImmune","query","stromal cell","Can't Identify","No Match","Prediction does not identify or suggest the actual type."
"All","Lymph Node","RespiratoryImmune","noquery","naive b cell","B cells","Partial Match","Predicted type is a larger group encompassing the actual type."
"All","Lymph Node","RespiratoryImmune","query","naive b cell","B cells","Partial Match","Predicted type is a larger group encompassing the actual type."
"Group","Lymph Node","RespiratoryImmune","noquery","naive b cell","Can't Identify","No Match","Predicted type does not correspond to naive B cells."
"Group","Lymph Node","RespiratoryImmune","query","naive b cell","Can't Identify","No Match","Predicted type does not correspond to naive B cells."
"Organ","Lymph Node","RespiratoryImmune","noquery","naive b cell","Can't Identify","No Match","Predicted type does not correspond to naive B cells."
"Organ","Lymph Node","RespiratoryImmune","query","naive b cell","Can't Identify","No Match","Predicted type does not correspond to naive B cells."
"All","Lymph Node","RespiratoryImmune","noquery","memory b cell","B cells","Partial Match","B cells include memory B cells as a subgroup."
"All","Lymph Node","RespiratoryImmune","query","memory b cell","Dendritic Cells","No Match","Dendritic cells are a distinct lineage from B cells."
"Group","Lymph Node","RespiratoryImmune","noquery","memory b cell","Can't Identify","No Match","Predicted type does not correspond to memory B cells."
"Group","Lymph Node","RespiratoryImmune","query","memory b cell","Can't Identify","No Match","Predicted type does not correspond to memory B cells."
"Organ","Lymph Node","RespiratoryImmune","noquery","memory b cell","Can't Identify","No Match","Predicted type does not correspond to memory B cells."
"Organ","Lymph Node","RespiratoryImmune","query","memory b cell","Can't Identify","No Match","Predicted type does not correspond to memory B cells."
"All","Lymph Node","RespiratoryImmune","noquery","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction is unable to specify any cell type."
"All","Lymph Node","RespiratoryImmune","query","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction is unable to specify any cell type."
"Group","Lymph Node","RespiratoryImmune","noquery","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction is unable to specify any cell type."
"Group","Lymph Node","RespiratoryImmune","query","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction is unable to specify any cell type."
"Organ","Lymph Node","RespiratoryImmune","noquery","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction is unable to specify any cell type."
"Organ","Lymph Node","RespiratoryImmune","query","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction is unable to specify any cell type."
"All","Lymph Node","RespiratoryImmune","noquery","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction is unable to specify any cell type."
"All","Lymph Node","RespiratoryImmune","query","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction is unable to specify any cell type."
"Group","Lymph Node","RespiratoryImmune","noquery","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction is unable to specify any cell type."
"Group","Lymph Node","RespiratoryImmune","query","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction is unable to specify any cell type."
"Organ","Lymph Node","RespiratoryImmune","noquery","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction couldn't identify the specific T cell type."
"Organ","Lymph Node","RespiratoryImmune","query","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction couldn't identify the specific T cell type."
"All","Lymph Node","RespiratoryImmune","noquery","cd8-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction couldn't identify the specific T cell type."
"All","Lymph Node","RespiratoryImmune","query","cd8-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction couldn't identify the specific T cell type."
"Group","Lymph Node","RespiratoryImmune","noquery","cd8-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction couldn't identify the specific T cell type."
"Group","Lymph Node","RespiratoryImmune","query","cd8-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction couldn't identify the specific T cell type."
"Organ","Lymph Node","RespiratoryImmune","noquery","cd8-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction couldn't identify the specific T cell type."
"Organ","Lymph Node","RespiratoryImmune","query","cd8-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction couldn't identify the specific T cell type."
"All","Lymph Node","RespiratoryImmune","noquery","mature nk t cell","Natural Killer Cells","Partial Match","Natural killer T cells are a subset of natural killer cells."
"All","Lymph Node","RespiratoryImmune","query","mature nk t cell","Natural Killer Cells","Partial Match","Natural killer T cells are a subset of natural killer cells."
"Group","Lymph Node","RespiratoryImmune","noquery","mature nk t cell","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"Group","Lymph Node","RespiratoryImmune","query","mature nk t cell","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"Organ","Lymph Node","RespiratoryImmune","noquery","mature nk t cell","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"Organ","Lymph Node","RespiratoryImmune","query","mature nk t cell","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"All","Spleen","RespiratoryImmune","noquery","cd8-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"All","Spleen","RespiratoryImmune","query","cd8-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"Group","Spleen","RespiratoryImmune","noquery","cd8-positive, alpha-beta memory t cell","CD8+ T Cells","Partial Match","CD8+ T cells include memory subtypes, but the prediction is less specific."
"Group","Spleen","RespiratoryImmune","query","cd8-positive, alpha-beta memory t cell","CD8+ T Cells","Partial Match","CD8+ T cells include memory subtypes, but the prediction is less specific."
"Organ","Spleen","RespiratoryImmune","noquery","cd8-positive, alpha-beta memory t cell","CD8+ T Cells","Partial Match","CD8+ T cells include memory subtypes, but the prediction is less specific."
"Organ","Spleen","RespiratoryImmune","query","cd8-positive, alpha-beta memory t cell","CD8+ T Cells","Partial Match","CD8+ T cells include memory subtypes, but the prediction is less specific."
"All","Spleen","RespiratoryImmune","noquery","macrophage","Macrophages","Match","Both refer to the same cell type, despite different pluralization."
"All","Spleen","RespiratoryImmune","query","macrophage","Macrophages","Match","Both refer to the same cell type, despite different pluralization."
"Group","Spleen","RespiratoryImmune","noquery","macrophage","Can't Identify","No Match","The prediction failed to identify the actual cell type."
"Group","Spleen","RespiratoryImmune","query","macrophage","Can't Identify","No Match","The prediction failed to identify the actual cell type."
"Organ","Spleen","RespiratoryImmune","noquery","macrophage","Can't Identify","No Match","The prediction failed to identify the actual cell type."
"Organ","Spleen","RespiratoryImmune","query","macrophage","Can't Identify","No Match","The prediction failed to identify the actual cell type."
"All","Spleen","RespiratoryImmune","noquery","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction failed to identify the actual cell type."
"All","Spleen","RespiratoryImmune","query","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction failed to identify the actual cell type."
"Group","Spleen","RespiratoryImmune","noquery","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction failed to identify the actual cell type."
"Group","Spleen","RespiratoryImmune","query","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction failed to identify the actual cell type."
"Organ","Spleen","RespiratoryImmune","noquery","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not identify a cell type similar to the annotation."
"Organ","Spleen","RespiratoryImmune","query","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not identify a cell type similar to the annotation."
"All","Spleen","RespiratoryImmune","noquery","intermediate monocyte","Neutrophils","No Match","Neutrophils and monocytes are distinct cell types within the immune system."
"All","Spleen","RespiratoryImmune","query","intermediate monocyte","Neutrophils","No Match","Neutrophils and monocytes are distinct cell types within the immune system."
"Group","Spleen","RespiratoryImmune","noquery","intermediate monocyte","Can't Identify","No Match","The prediction does not identify a cell type similar to the annotation."
"Group","Spleen","RespiratoryImmune","query","intermediate monocyte","Can't Identify","No Match","The prediction does not identify a cell type similar to the annotation."
"Organ","Spleen","RespiratoryImmune","noquery","intermediate monocyte","Neutrophils","No Match","Neutrophils and monocytes are distinct cell types within the immune system."
"Organ","Spleen","RespiratoryImmune","query","intermediate monocyte","Neutrophils","No Match","Neutrophils and monocytes are distinct cell types within the immune system."
"All","Spleen","RespiratoryImmune","noquery","endothelial cell","Can't Identify","No Match","The prediction does not identify a cell type similar to the annotation."
"All","Spleen","RespiratoryImmune","query","endothelial cell","Can't Identify","No Match","The prediction does not identify a cell type similar to the annotation."
"Group","Spleen","RespiratoryImmune","noquery","endothelial cell","Can't Identify","No Match","The prediction does not identify the endothelial cell type."
"Group","Spleen","RespiratoryImmune","query","endothelial cell","Can't Identify","No Match","The prediction does not identify the endothelial cell type."
"Organ","Spleen","RespiratoryImmune","noquery","endothelial cell","Can't Identify","No Match","The prediction does not identify the endothelial cell type."
"Organ","Spleen","RespiratoryImmune","query","endothelial cell","Can't Identify","No Match","The prediction does not identify the endothelial cell type."
"All","Spleen","RespiratoryImmune","noquery","memory b cell","Can't Identify","No Match","The prediction does not identify the memory B cell type."
"All","Spleen","RespiratoryImmune","query","memory b cell","Can't Identify","No Match","The prediction does not identify the memory B cell type."
"Group","Spleen","RespiratoryImmune","noquery","memory b cell","Can't Identify","No Match","The prediction does not identify the memory B cell type."
"Group","Spleen","RespiratoryImmune","query","memory b cell","Can't Identify","No Match","The prediction does not identify the memory B cell type."
"Organ","Spleen","RespiratoryImmune","noquery","memory b cell","Can't Identify","No Match","The prediction does not identify the memory B cell type."
"Organ","Spleen","RespiratoryImmune","query","memory b cell","Can't Identify","No Match","The prediction does not identify the memory B cell type."
"All","Spleen","RespiratoryImmune","noquery","classical monocyte","Can't Identify","No Match","The prediction does not identify or correspond to classical monocytes."
"All","Spleen","RespiratoryImmune","query","classical monocyte","Can't Identify","No Match","The prediction does not provide information about classical monocytes."
"Group","Spleen","RespiratoryImmune","noquery","classical monocyte","Can't Identify","No Match","Unable to identify classical monocytes, indicating no match."
"Group","Spleen","RespiratoryImmune","query","classical monocyte","Can't Identify","No Match","The classical monocyte annotation is not recognized in the prediction."
"Organ","Spleen","RespiratoryImmune","noquery","classical monocyte","Can't Identify","No Match","There is no association with classical monocytes."
"Organ","Spleen","RespiratoryImmune","query","classical monocyte","Can't Identify","No Match","Prediction failed to correspond to classical monocyte annotation."
"All","Spleen","RespiratoryImmune","noquery","neutrophil","Neutrophil","Match","The prediction and annotation both identify neutrophils."
"All","Spleen","RespiratoryImmune","query","neutrophil","Can't Identify","No Match","Prediction fails to identify or correspond to neutrophils."
"Group","Spleen","RespiratoryImmune","noquery","neutrophil","Neutrophil","Match","Predicted identity corresponds exactly with annotated neutrophil."
"Group","Spleen","RespiratoryImmune","query","neutrophil","Can't Identify","No Match","The prediction does not identify the neutrophil annotation."
"Organ","Spleen","RespiratoryImmune","noquery","neutrophil","Can't Identify","No Match","The prediction fails to identify the specific cell type, neutrophil."
"Organ","Spleen","RespiratoryImmune","query","neutrophil","Can't Identify","No Match","The prediction fails to identify the specific cell type, neutrophil."
"All","Spleen","RespiratoryImmune","noquery","naive b cell","Can't Identify","No Match","The prediction fails to identify the specific cell type, naive b cell."
"All","Spleen","RespiratoryImmune","query","naive b cell","Can't Identify","No Match","The prediction fails to identify the specific cell type, naive b cell."
"Group","Spleen","RespiratoryImmune","noquery","naive b cell","Can't Identify","No Match","The prediction fails to identify the specific cell type, naive b cell."
"Group","Spleen","RespiratoryImmune","query","naive b cell","Can't Identify","No Match","The prediction fails to identify the specific cell type, naive b cell."
"Organ","Spleen","RespiratoryImmune","noquery","naive b cell","Can't Identify","No Match","The prediction fails to identify the specific cell type, naive b cell."
"Organ","Spleen","RespiratoryImmune","query","naive b cell","Can't Identify","No Match","The prediction fails to identify the specific cell type, naive b cell."
"All","Spleen","RespiratoryImmune","noquery","plasma cell","Plasma cells","Match","The prediction correctly identifies the actual cell type, plasma cell."
"All","Spleen","RespiratoryImmune","query","plasma cell","Can't Identify","No Match","The prediction fails to identify the specific cell type, plasma cell."
"Group","Spleen","RespiratoryImmune","noquery","plasma cell","Can't Identify","No Match","The prediction fails to identify the plasma cell type, indicating a lack of match."
"Group","Spleen","RespiratoryImmune","query","plasma cell","Can't Identify","No Match","The prediction fails to identify the plasma cell type, indicating a lack of match."
"Organ","Spleen","RespiratoryImmune","noquery","plasma cell","Can't Identify","No Match","The prediction fails to identify the plasma cell type, indicating a lack of match."
"Organ","Spleen","RespiratoryImmune","query","plasma cell","Can't Identify","No Match","The prediction fails to identify the plasma cell type, indicating a lack of match."
"All","Spleen","RespiratoryImmune","noquery","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction fails to identify the CD4-positive, alpha-beta memory T cell type."
"All","Spleen","RespiratoryImmune","query","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction fails to identify the CD4-positive, alpha-beta memory T cell type."
"Group","Spleen","RespiratoryImmune","noquery","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction fails to identify the CD4-positive, alpha-beta memory T cell type."
"Group","Spleen","RespiratoryImmune","query","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction fails to identify the CD4-positive, alpha-beta memory T cell type."
"Organ","Spleen","RespiratoryImmune","noquery","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction fails to identify the CD4-positive, alpha-beta memory T cell type."
"Organ","Spleen","RespiratoryImmune","query","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","The prediction fails to identify the CD4-positive, alpha-beta memory T cell type."
"All","Spleen","RespiratoryImmune","noquery","type i nk t cell","Can't Identify","No Match","The prediction failed to identify a specific cell type."
"All","Spleen","RespiratoryImmune","query","type i nk t cell","Can't Identify","No Match","The prediction failed to identify a specific cell type."
"Group","Spleen","RespiratoryImmune","noquery","type i nk t cell","Can't Identify","No Match","The prediction failed to identify a specific cell type."
"Group","Spleen","RespiratoryImmune","query","type i nk t cell","Can't Identify","No Match","The prediction failed to identify a specific cell type."
"Organ","Spleen","RespiratoryImmune","noquery","type i nk t cell","Can't Identify","No Match","The prediction failed to identify a specific cell type."
"Organ","Spleen","RespiratoryImmune","query","type i nk t cell","Can't Identify","No Match","The prediction failed to identify a specific cell type."
"All","Spleen","RespiratoryImmune","noquery","naive thymus-derived cd8-positive, alpha-beta t cell","NK cells","No Match","NK cells and CD8-positive T cells are distinct types without overlap."
"All","Spleen","RespiratoryImmune","query","naive thymus-derived cd8-positive, alpha-beta t cell","NK cells","No Match","NK cells and CD8-positive T cells are distinct types without overlap."
"Group","Spleen","RespiratoryImmune","noquery","naive thymus-derived cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction failed to identify a specific cell type."
"Group","Spleen","RespiratoryImmune","query","naive thymus-derived cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction failed to identify a specific cell type."
"Organ","Spleen","RespiratoryImmune","noquery","naive thymus-derived cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction fails to identify or specify the annotated cell type."
"Organ","Spleen","RespiratoryImmune","query","naive thymus-derived cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction fails to identify or specify the annotated cell type."
"All","Spleen","RespiratoryImmune","noquery","nk cell","Natural Killer Cell","Match","""Natural Killer Cell"" is a synonymous term for ""nk cell""."
"All","Spleen","RespiratoryImmune","query","nk cell","Natural Killer Cell","Match","""Natural Killer Cell"" is a synonymous term for ""nk cell""."
"Group","Spleen","RespiratoryImmune","noquery","nk cell","Natural Killer Cell","Match","""Natural Killer Cell"" is a synonymous term for ""nk cell""."
"Group","Spleen","RespiratoryImmune","query","nk cell","Can't Identify","No Match","The prediction fails to identify or specify the annotated cell type."
"Organ","Spleen","RespiratoryImmune","noquery","nk cell","Can't Identify","No Match","The prediction fails to identify or specify the annotated cell type."
"Organ","Spleen","RespiratoryImmune","query","nk cell","Can't Identify","No Match","The prediction fails to identify or specify the annotated cell type."
"All","Spleen","RespiratoryImmune","noquery","innate lymphoid cell","Can't Identify","No Match","The prediction fails to identify or specify the annotated cell type."
"All","Spleen","RespiratoryImmune","query","innate lymphoid cell","Can't Identify","No Match","The prediction fails to identify or specify the annotated cell type."
"Group","Spleen","RespiratoryImmune","noquery","innate lymphoid cell","Can't Identify","No Match","The predicted cell type does not correspond to an innate lymphoid cell."
"Group","Spleen","RespiratoryImmune","query","innate lymphoid cell","Can't Identify","No Match","The predicted cell type does not correspond to an innate lymphoid cell."
"Organ","Spleen","RespiratoryImmune","noquery","innate lymphoid cell","Can't Identify","No Match","The predicted cell type does not correspond to an innate lymphoid cell."
"Organ","Spleen","RespiratoryImmune","query","innate lymphoid cell","Can't Identify","No Match","The predicted cell type does not correspond to an innate lymphoid cell."
"All","Spleen","RespiratoryImmune","noquery","erythrocyte","Red Blood Cells","Match","Erythrocyte is another name for red blood cells."
"All","Spleen","RespiratoryImmune","query","erythrocyte","Can't Identify","No Match","The predicted cell type does not correspond to erythrocyte."
"Group","Spleen","RespiratoryImmune","noquery","erythrocyte","Red Blood Cells","Match","Erythrocyte is another name for red blood cells."
"Group","Spleen","RespiratoryImmune","query","erythrocyte","Can't Identify","No Match","The predicted cell type does not correspond to erythrocyte."
"Organ","Spleen","RespiratoryImmune","noquery","erythrocyte","Red Blood Cells","Match","Erythrocyte is another name for red blood cells."
"Organ","Spleen","RespiratoryImmune","query","erythrocyte","Red Blood Cells","Match","Erythrocyte is another name for red blood cells."
"All","Spleen","RespiratoryImmune","noquery","regulatory t cell","T regulatory cells","Match","""T regulatory cells"" and ""regulatory t cell"" refer to the same concept."
"All","Spleen","RespiratoryImmune","query","regulatory t cell","T regulatory cells","Match","""T regulatory cells"" and ""regulatory t cell"" refer to the same concept."
"Group","Spleen","RespiratoryImmune","noquery","regulatory t cell","Can't Identify","No Match","Prediction lacks specificity to match ""regulatory t cell""."
"Group","Spleen","RespiratoryImmune","query","regulatory t cell","Can't Identify","No Match","Prediction lacks specificity to match ""regulatory t cell""."
"Organ","Spleen","RespiratoryImmune","noquery","regulatory t cell","Can't Identify","No Match","Prediction lacks specificity to match ""regulatory t cell""."
"Organ","Spleen","RespiratoryImmune","query","regulatory t cell","Can't Identify","No Match","Prediction lacks specificity to match ""regulatory t cell""."
"All","Spleen","RespiratoryImmune","noquery","hematopoietic stem cell","Neutrophils","No Match","Neutrophils are differentiated cells, unlike hematopoietic stem cells."
"All","Spleen","RespiratoryImmune","query","hematopoietic stem cell","Neutrophils","No Match","Neutrophils are differentiated cells, unlike hematopoietic stem cells."
"Group","Spleen","RespiratoryImmune","noquery","hematopoietic stem cell","Can't Identify","No Match","Prediction lacks specificity to match ""hematopoietic stem cell""."
"Group","Spleen","RespiratoryImmune","query","hematopoietic stem cell","Can't Identify","No Match","Prediction lacks specificity to match ""hematopoietic stem cell""."
"Organ","Spleen","RespiratoryImmune","noquery","hematopoietic stem cell","Can't Identify","No Match","Hematopoietic stem cells were not identified by the system."
"Organ","Spleen","RespiratoryImmune","query","hematopoietic stem cell","Can't Identify","No Match","Hematopoietic stem cells were not identified by the system."
"All","Spleen","RespiratoryImmune","noquery","cd141-positive myeloid dendritic cell","Can't Identify","No Match","CD141-positive myeloid dendritic cells were not identified."
"All","Spleen","RespiratoryImmune","query","cd141-positive myeloid dendritic cell","Can't Identify","No Match","CD141-positive myeloid dendritic cells were not identified."
"Group","Spleen","RespiratoryImmune","noquery","cd141-positive myeloid dendritic cell","Can't Identify","No Match","CD141-positive myeloid dendritic cells were not identified."
"Group","Spleen","RespiratoryImmune","query","cd141-positive myeloid dendritic cell","Can't Identify","No Match","CD141-positive myeloid dendritic cells were not identified."
"Organ","Spleen","RespiratoryImmune","noquery","cd141-positive myeloid dendritic cell","Can't Identify","No Match","CD141-positive myeloid dendritic cells were not identified."
"Organ","Spleen","RespiratoryImmune","query","cd141-positive myeloid dendritic cell","Can't Identify","No Match","CD141-positive myeloid dendritic cells were not identified."
"All","Spleen","RespiratoryImmune","noquery","cd1c-positive myeloid dendritic cell","Can't Identify","No Match","CD1c-positive myeloid dendritic cells were not identified."
"All","Spleen","RespiratoryImmune","query","cd1c-positive myeloid dendritic cell","Can't Identify","No Match","CD1c-positive myeloid dendritic cells were not identified."
"Group","Spleen","RespiratoryImmune","noquery","cd1c-positive myeloid dendritic cell","Can't Identify","No Match","The prediction does not attempt to specify any particular cell type."
"Group","Spleen","RespiratoryImmune","query","cd1c-positive myeloid dendritic cell","Can't Identify","No Match","The prediction does not attempt to specify any particular cell type."
"Organ","Spleen","RespiratoryImmune","noquery","cd1c-positive myeloid dendritic cell","Can't Identify","No Match","The prediction does not attempt to specify any particular cell type."
"Organ","Spleen","RespiratoryImmune","query","cd1c-positive myeloid dendritic cell","Can't Identify","No Match","The prediction does not attempt to specify any particular cell type."
"All","Spleen","RespiratoryImmune","noquery","plasmacytoid dendritic cell","B cells","No Match","Predicted B cells are unrelated to actual plasmacytoid dendritic cells."
"All","Spleen","RespiratoryImmune","query","plasmacytoid dendritic cell","B cells","No Match","Predicted B cells are unrelated to actual plasmacytoid dendritic cells."
"Group","Spleen","RespiratoryImmune","noquery","plasmacytoid dendritic cell","B cells","No Match","Predicted B cells are unrelated to actual plasmacytoid dendritic cells."
"Group","Spleen","RespiratoryImmune","query","plasmacytoid dendritic cell","B cells","No Match","Predicted B cells are unrelated to actual plasmacytoid dendritic cells."
"Organ","Spleen","RespiratoryImmune","noquery","plasmacytoid dendritic cell","Can't Identify","No Match","The prediction does not attempt to specify any particular cell type."
"Organ","Spleen","RespiratoryImmune","query","plasmacytoid dendritic cell","Can't Identify","No Match","The prediction does not attempt to specify any particular cell type."
"All","Spleen","RespiratoryImmune","noquery","mature nk t cell","Natural Killer Cell","Partial Match","Natural Killer T cells share properties with Natural Killer cells but are distinct."
"All","Spleen","RespiratoryImmune","query","mature nk t cell","Natural Killer Cell","Partial Match","Natural Killer T cells share properties with Natural Killer cells but are distinct."
"Group","Spleen","RespiratoryImmune","noquery","mature nk t cell","Can't Identify","No Match","""Can't Identify"" does not correspond to any annotated type."
"Group","Spleen","RespiratoryImmune","query","mature nk t cell","Can't Identify","No Match","""Can't Identify"" does not correspond to any annotated type."
"Organ","Spleen","RespiratoryImmune","noquery","mature nk t cell","Can't Identify","No Match","""Can't Identify"" does not correspond to any annotated type."
"Organ","Spleen","RespiratoryImmune","query","mature nk t cell","Can't Identify","No Match","""Can't Identify"" does not correspond to any annotated type."
"All","Spleen","RespiratoryImmune","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","""Can't Identify"" does not correspond to any annotated type."
"All","Spleen","RespiratoryImmune","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","""Can't Identify"" does not correspond to any annotated type."
"Group","Spleen","RespiratoryImmune","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","""Can't Identify"" does not correspond to any annotated type."
"Group","Spleen","RespiratoryImmune","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","""Can't Identify"" does not correspond to any annotated type."
"Organ","Spleen","RespiratoryImmune","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction failed to identify any specific cell type."
"Organ","Spleen","RespiratoryImmune","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction failed to identify any specific cell type."
"All","Bone Marrow","RespiratoryImmune","noquery","monocyte","Neutrophil","No Match","Monocytes and neutrophils are distinct types of immune cells."
"All","Bone Marrow","RespiratoryImmune","query","monocyte","Neutrophil","No Match","Monocytes and neutrophils are distinct types of immune cells."
"Group","Bone Marrow","RespiratoryImmune","noquery","monocyte","Neutrophil","No Match","Monocytes and neutrophils are distinct types of immune cells."
"Group","Bone Marrow","RespiratoryImmune","query","monocyte","Neutrophil","No Match","Monocytes and neutrophils are distinct types of immune cells."
"Organ","Bone Marrow","RespiratoryImmune","noquery","monocyte","Can't Identify","No Match","The prediction failed to identify any specific cell type."
"Organ","Bone Marrow","RespiratoryImmune","query","monocyte","Can't Identify","No Match","The prediction failed to identify any specific cell type."
"All","Bone Marrow","RespiratoryImmune","noquery","plasma cell","B cells","Partial Match","Plasma cells are a differentiated form of B cells."
"All","Bone Marrow","RespiratoryImmune","query","plasma cell","B cells","Partial Match","Plasma cells are a differentiated form of B cells."
